"Nume Prenume","Institutie","Functie","Localitate","Judet","Data completare declaratie","Tip declaratie"
"Stan N Mihai Cosmin","Comuna Adunatii Copaceni","Viceprimar","Adunatii-Copaceni","Giurgiu","19.05.2022","Declaraţie de avere"
"Gica S Andrei-Stefan","Judetul Giurgiu","Consilier județean","Adunatii-Copaceni","Giurgiu","23.05.2022","Declaraţie de avere"
"Hagiu M Cosmin Ionut","Comuna Adunatii Copaceni","Consilier local","Adunatii-Copaceni","Giurgiu","14.06.2022","Declaraţie de avere"
"Roman I Gabriela-Corina","Ministerul Investitiilor si Proiectelor Europene","Consilier","Adunatii-Copaceni","Giurgiu","05.05.2022","Declaraţie de avere"
"MĂRUNȚELU G IONELA ALINA","Sectorul 1 Al Municipiului Bucuresti","Consilier Asistent","Adunatii-Copaceni","Giurgiu","06.06.2022","Declaraţie de avere"
"CATANA M MARIA VIRGINIA","Directia Generala De Administrare A Marilor Contribuabili","Inspector superior","Adunatii-Copaceni","Giurgiu","03.05.2022","Declaraţie de avere"
"Chelu P Laurentiu","Comuna Adunatii Copaceni","Consilier local","Adunatii-Copaceni","Giurgiu","10.06.2022","Declaraţie de avere"
"Radu P Licuta","Comuna Adunatii Copaceni","Consilier local","Adunatii-Copaceni","Giurgiu","10.06.2022","Declaraţie de avere"
"Sincu S Ionel Puiu","Comuna Adunatii Copaceni","Consilier local","Adunatii-Copaceni","Giurgiu","10.06.2022","Declaraţie de avere"
"TUDOR V ELEONORA CRISTINA","Directia Venituri Buget Local Sector 2","Inspector","Adunatii-Copaceni","Giurgiu","08.06.2022","Declaraţie de avere"
"Marius P Chelu","Directia Generala Regionala A Finantelor Publice Ploiesti","Inspector superior","Adunatii-Copaceni","Giurgiu","12.05.2022","Declaraţie de avere"
"Barbu G Mihaela-Elena","Institutul Clinic Fundeni","Personalul care administrează sau implementează programe ori proiecte finanțate din fonduri externe sau din fonduri bugetare","Adunatii-Copaceni","Giurgiu","28.06.2022","Declaraţie de avere"
"Iremia I George Cosmin","Comuna Adunatii Copaceni","Consilier local","Adunatii-Copaceni","Giurgiu","08.06.2022","Declaraţie de avere"
"Stefan I Stefan","Comuna Adunatii Copaceni","Consilier local","Adunatii-Copaceni","Giurgiu","08.06.2022","Declaraţie de avere"
"Dragne I Valentin","Comuna Adunatii Copaceni","Consilier local","Adunatii-Copaceni","Giurgiu","08.06.2022","Declaraţie de avere"
"Marin St Aurel","Comuna Adunatii Copaceni","Consilier local","Adunatii-Copaceni","Giurgiu","08.06.2022","Declaraţie de avere"
"GOGONTEA P NICOLETA","Autoritatea Nationala Sanitara Veterinara Si Pentru Siguranta Alimentelor","Consilier superior","Adunatii-Copaceni","Giurgiu","09.06.2022","Declaraţie de avere"
"Stancu D Marius","Comuna Adunatii Copaceni","Consilier local","Adunatii-Copaceni","Giurgiu","07.06.2022","Declaraţie de avere"
"Puicalau N Gabriela","Comuna Adunatii Copaceni","Consilier Asistent","Adunatii-Copaceni","Giurgiu","18.05.2022","Declaraţie de avere"
"Mutis Ghe Aurelia Mariana","Comuna Adunatii Copaceni","Secretar General","Adunatii-Copaceni","Giurgiu","19.05.2022","Declaraţie de avere"
"Mihai A Cristian-George","Comuna Adunatii Copaceni","Consilier debutant","Adunatii-Copaceni","Giurgiu","23.05.2022","Declaraţie de avere"
"Radu St Mihai-Razvan","Comuna Adunatii Copaceni","Consilier Asistent","Adunatii-Copaceni","Giurgiu","23.05.2022","Declaraţie de avere"
"Panait N Gherghina","Comuna Adunatii Copaceni","Consilier local","Adunatii-Copaceni","Giurgiu","06.06.2022","Declaraţie de avere"
"Ciuca N Constantin Bratu","Comuna Adunatii Copaceni","Consilier local","Adunatii-Copaceni","Giurgiu","06.06.2022","Declaraţie de avere"
"GHEORGHE I MARIN","Comuna Adunatii Copaceni","Consilier local","Adunatii-Copaceni","Giurgiu","06.06.2022","Declaraţie de avere"
"Schiopu C Gabriela","Comuna Adunatii Copaceni","Consilier Principal","Adunatii-Copaceni","Giurgiu","23.05.2022","Declaraţie de avere"
"Schiopu D Daniela","Comuna Adunatii Copaceni","Consilier superior","Adunatii-Copaceni","Giurgiu","19.05.2022","Declaraţie de avere"
"Ene E Aurel","Comuna Adunatii Copaceni","Consilier Asistent","Adunatii-Copaceni","Giurgiu","26.05.2022","Declaraţie de avere"
"ROMAN M ADRIAN","Directia Generala Regionala A Finantelor Publice Bucuresti","Inspector superior","Adunatii-Copaceni","Giurgiu","19.05.2022","Declaraţie de avere"
"DUMITRU V. Lucian","Secretariatul General Al Guvernului","Inspector guvernamental","Adunatii-Copaceni","Giurgiu","15.06.2022","Declaraţie de avere"
"MODROI G MIHAELA","Comuna Adunatii Copaceni","Consilier superior","Adunatii-Copaceni","Giurgiu","23.05.2022","Declaraţie de avere"
"Burada A Stefan","Comuna Adunatii Copaceni","Consilier local","Adunatii-Copaceni","Giurgiu","30.05.2022","Declaraţie de avere"
"IACOB I CONSTANTIN","Baza De Aprovizionare, Gospodarire Si Reparatii","Agent principal","Adunatii-Copaceni","Giurgiu","31.05.2022","Declaraţie de avere"
"Petre S Alexandru-Laurențiu","Directia Sanitar-veterinara Si Pentru Siguranta Alimentelor Bucuresti","Sofer","Adunatii-Copaceni","Giurgiu","07.06.2022","Declaraţie de avere"
"Daiteanu N Adriana-Ilona","Institutul National De Statistica","Șef serviciu","Adunatii-Copaceni","Giurgiu","09.06.2022","Declaraţie de avere"
"Mirea P Aurelia-Florina","Autoritatea Pentru Supravegherea Si Protectia Animalelor","Șef serviciu","Adunatii-Copaceni","Giurgiu","10.06.2022","Declaraţie de avere"
"TUDOR P MARILENA-ROXANA","Comuna Adunatii Copaceni","Consilier Asistent","Adunatii-Copaceni","Giurgiu","25.05.2022","Declaraţie de avere"
"Rusu A Daniel-Cezar","Comuna Adunatii Copaceni","Primar","Adunatii-Copaceni","Giurgiu","14.06.2022","Declaraţie de avere"
"Marin N Mihaela","Tribunalul Bucuresti","Arhivar","Adunatii-Copaceni","Giurgiu","24.05.2022","Declaraţie de avere"
"Marin N Mihaela","Tribunalul Bucuresti","Arhivar","Adunatii-Copaceni","Giurgiu","23.05.2022","Declaraţie de avere"
